growth_driver_l1,growth_driver_l2,growth_driver_l3,growth_driver_l4,growth_driver_l5,metric,Starting week,investment (in pound),execution
ap_consumer_facing,consumer_engagement,paid_media,online_multiformat_ads_transaction,amazon_retail,impressions,2022-01-31,2262.9230000000002,619993.4
ap_consumer_facing,consumer_engagement,paid_media,online_multiformat_ads_transaction,amazon_retail,impressions,2022-02-07,1984.996,515611.2
ap_consumer_facing,consumer_engagement,paid_media,online_multiformat_ads_transaction,amazon_retail,impressions,2022-02-14,22110.335000000003,6170598.2
ap_consumer_facing,consumer_engagement,paid_media,online_multiformat_ads_transaction,amazon_retail,impressions,2022-02-21,41990.273,10469629.3
ap_consumer_facing,consumer_engagement,paid_media,online_multiformat_ads_transaction,amazon_retail,impressions,2022-02-28,13153.270000000002,2835346.8000000003
ap_consumer_facing,consumer_engagement,paid_media,online_multiformat_ads_transaction,amazon_retail,impressions,2022-03-07,1129.882,265714.8
ap_consumer_facing,consumer_engagement,paid_media,online_multiformat_ads_transaction,amazon_retail,impressions,2022-03-14,2779.31966,885670.5
ap_consumer_facing,consumer_engagement,paid_media,online_multiformat_ads_transaction,amazon_retail,impressions,2022-03-21,1938.7914,717181.4
ap_consumer_facing,consumer_engagement,paid_media,online_multiformat_ads_transaction,amazon_retail,impressions,2022-03-28,5612.742811000001,2459623.4
ap_consumer_facing,consumer_engagement,paid_media,online_multiformat_ads_transaction,amazon_retail,impressions,2022-04-04,11025.410565,4655781.0
ap_consumer_facing,consumer_engagement,paid_media,online_multiformat_ads_transaction,amazon_retail,impressions,2022-04-11,8855.222103,3121649.7
ap_consumer_facing,consumer_engagement,paid_media,online_multiformat_ads_transaction,amazon_retail,impressions,2022-04-18,5862.766247,2114658.0
ap_consumer_facing,consumer_engagement,paid_media,online_multiformat_ads_transaction,amazon_retail,impressions,2022-04-25,5731.800230000001,1978328.3
ap_consumer_facing,consumer_engagement,paid_media,online_multiformat_ads_transaction,amazon_retail,impressions,2022-05-02,7493.540574000001,3258330.4
ap_consumer_facing,consumer_engagement,paid_media,online_multiformat_ads_transaction,amazon_retail,impressions,2022-05-09,8473.09034,3821374.7
ap_consumer_facing,consumer_engagement,paid_media,online_multiformat_ads_transaction,amazon_retail,impressions,2022-05-16,7644.718548999999,3512453.1
ap_consumer_facing,consumer_engagement,paid_media,online_multiformat_ads_transaction,amazon_retail,impressions,2022-05-23,6729.283457,3000653.5
ap_consumer_facing,consumer_engagement,paid_media,online_multiformat_ads_transaction,amazon_retail,impressions,2022-05-30,4845.654320000001,1900609.1
ap_consumer_facing,consumer_engagement,paid_media,online_multiformat_ads_transaction,amazon_retail,impressions,2022-06-06,4892.081116,1844650.6
ap_consumer_facing,consumer_engagement,paid_media,online_multiformat_ads_transaction,amazon_retail,impressions,2022-06-13,5330.5313750000005,1797564.6
ap_consumer_facing,consumer_engagement,paid_media,online_multiformat_ads_transaction,amazon_retail,impressions,2022-06-20,12678.880253000001,4768362.3
ap_consumer_facing,consumer_engagement,paid_media,online_multiformat_ads_transaction,amazon_retail,impressions,2022-06-27,16463.622201,5653359.4
ap_consumer_facing,consumer_engagement,paid_media,online_multiformat_ads_transaction,amazon_retail,impressions,2022-07-04,11733.215000000002,4088164.6
ap_consumer_facing,consumer_engagement,paid_media,online_multiformat_ads_transaction,amazon_retail,impressions,2022-07-11,12294.256000000001,3959138.3000000003
ap_consumer_facing,consumer_engagement,paid_media,online_multiformat_ads_transaction,amazon_retail,impressions,2022-07-18,11242.621000000001,3746182.7
ap_consumer_facing,consumer_engagement,paid_media,online_multiformat_ads_transaction,amazon_retail,impressions,2022-07-25,10374.936000000002,4069474.5
